Name,Position,Spiele,Tore,Tore pro spiel
Henry Nwosu,Angriff,4,0,0.00000
Thorsten Flick,Angriff,1,0,0.00000
Stefan Zinnow,Angriff,1,0,0.00000
Michael Hofmann,Torwart,34,0,0.00000
Gerald Vanenburg,Abwehr,27,2,0.07407
Marco Kurz,Abwehr,26,4,0.15385
Holger Greilich,Abwehr,22,0,0.00000
Guido Gorges,Abwehr,11,0,0.00000
Jochen Kientz,Abwehr,6,1,0.16667
Martin Stranzl,Abwehr,3,0,0.00000
Ned Zelic,Mittelfeld,33,1,0.03030
Harald Cerny,Mittelfeld,29,3,0.10345
Horst Heldt,Mittelfeld,27,1,0.03704
Abderrahim Ouakili,Mittelfeld,27,3,0.11111
Stefan Malz,Mittelfeld,22,1,0.04545
Roman Tyce,Mittelfeld,18,0,0.00000
Miroslav Stevic,Mittelfeld,17,0,0.00000
Martin Cizek,Mittelfeld,14,0,0.00000
Mich‚l Mazingu-Dinzey,Mittelfeld,14,1,0.07143
Manfred Bender,Mittelfeld,6,0,0.00000
Thomas Richter,Mittelfeld,5,0,0.00000
Awudu Issaka,Mittelfeld,1,0,0.00000
Markus Schroth,Angriff,33,6,0.18182
Bernd Hobsch,Angriff,25,12,0.48000
Bernhard Winkler,Angriff,24,10,0.41667
Daniel Borimirov,Angriff,23,2,0.08696
Paul Agostino,Angriff,7,0,0.00000
Hristo Yovov,Angriff,4,1,0.25000
Thomas Schlter,Angriff,1,0,0.00000
Andreas Reinke,Torwart,34,0,0.00000
Hany Ramzy,Abwehr,32,3,0.09375
Harry Koch,Abwehr,24,0,0.00000
Axel Roos,Abwehr,23,0,0.00000
